FIRE_NUMBER,LATITUDE,LONGITUDE,CURRENT_SIZE,GENERAL_CAUSE,WEATHER_CONDITIONS_OVER_FIRE,TEMPERATURE,RELATIVE_HUMIDITY,WIND_SPEED,FIRE_SPREAD_RATE,FUEL_TYPE,FIRE_POSITION_ON_SLOPE,SIZE_CLASS,FIRE_START_DATE,FIRST_EX_DATE,weather_enc,fuel_danger,slope_enc,size_class_enc,is_lightning,duration_days
RWF001,52.381417,-115.746167,0.99,Forest Industry,Cloudy,12.0,37.0,20.0,1.0,S1,Upper 1/3,B,2024-01-30 13:01,2024-02-06 10:01,1.0,1.0,3.0,2,0,6.0
EWF002,53.347352,-117.81784,0.01,Forest Industry,Cloudy,-2.0,60.0,0.0,0.0,C3,Flat,A,2024-02-06 8:00,2024-02-12 10:30,1.0,3.0,0.0,1,0,6.0
RWF014,52.072967,-116.404883,0.01,Incendiary,Clear,13.0,49.0,10.0,0.0,,Flat,A,2024-05-14 20:40,2024-05-14 21:54,0.0,2.0,0.0,1,0,0.0
RWF020,52.887583,-116.46075,0.01,Recreation,Cloudy,16.0,35.0,20.0,0.0,M2,Flat,A,,2024-06-02 18:45,1.0,3.0,0.0,1,0,0.0
EWF044,53.463807,-117.443383,0.1,Railroad,Cloudy,16.0,26.0,15.0,0.0,O1a,Flat,A,2024-06-07 11:45,2024-06-07 13:35,1.0,1.0,0.0,1,0,0.0
RWF039,52.909533,-115.798133,0.01,Forest Industry,Clear,26.0,25.0,10.0,1.0,S1,Flat,A,2024-07-06 12:00,2024-07-08 12:07,0.0,1.0,0.0,1,0,2.0
RWF002,52.495383,-115.510883,0.2,Oil & Gas Industry,Clear,10.0,31.0,7.0,0.0,S1,Bottom,B,2024-03-11 12:13,2024-03-15 11:00,0.0,1.0,0.0,2,0,3.0
EWF005,53.322533,-117.661333,0.01,Recreation,Cloudy,-21.0,59.0,8.0,1.0,C2,Flat,A,2024-02-18 8:00,2024-03-03 12:09,1.0,3.0,0.0,1,0,14.0
EWF031,53.4326,-117.571917,0.01,Power Line Industry,Clear,13.0,28.0,13.0,0.0,C2,Flat,A,2024-05-09 8:50,2024-05-09 10:13,0.0,3.0,0.0,1,0,0.0
RWF055,52.713017,-115.999983,0.1,Lightning,Cloudy,20.0,80.0,5.0,1.0,C2,Flat,A,2024-07-18 19:15,2024-07-19 12:35,1.0,3.0,0.0,1,1,0.0
